gender,TNR,FPR,Group,region
female,0.0,0.0,gender,
male,0.0,0.0,gender,
,0.0,0.0,region,british isles (uk and ireland)
,0.0,0.0,region,"caribbean (english-speaking nations like jamaica, trinidad, barbados, bahamas)"
,0.0,0.0,region,"east asia (china, taiwan, hong kong, japan, korea)"
,0.0,0.0,region,"middle east & central asia (arabic-speaking countries, iran, and central asia)"
,0.0,0.0,region,north america (us and canada)
,0.0,0.0,region,"south asia (india, pakistan, bangladesh, sri lanka, nepal)"
,0.0,0.0,region,"southeast asia (singapore, malaysia, the philippines, indonesia, thailand, vietnam, myanmar, cambodia, and others)"
,0.0,0.0,region,"sub-saharan africa (all countries south of the sahara desert, excluding south africa)"
,0.0,0.0,region,"western europe (france, germany, spain, italy, etc.)"
